CBSA.Title,AnnualLowWages,Year
"Atlanta-Sandy Springs-Roswell, GA",22172.8,2017
"Boston-Cambridge-Newton, MA-NH",35807.2,2017
"Chicago-Naperville-Elgin, IL-IN-WI",30440.8,2017
"Dallas-Fort Worth-Arlington, TX",22412,2017
"Detroit-Warren-Dearborn, MI",31179.2,2017
"Houston-The Woodlands-Sugar Land, TX",23108.8,2017
"Los Angeles-Long Beach-Anaheim, CA",27768,2017
"Miami-Fort Lauderdale-West Palm Beach, FL",26364,2017
"New York-Newark-Jersey City, NY-NJ-PA",33810.4,2017
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25729.6,2017
"Phoenix-Mesa-Scottsdale, AZ",44023.2,2017
"Riverside-San Bernardino-Ontario, CA",24398.4,2017
"San Francisco-Oakland-Hayward, CA",35828,2017
"Washington-Arlington-Alexandria, DC-VA-MD-WV",35952.8,2017
